price_table_id,km_from,km_to,cost_per_ton,cost_value_percent,gris_percent,tso_percent
32625379-4b1d-4b88-8411-3083bdf75337,1,50,226.04,0.30,0.30,0.15
32625379-4b1d-4b88-8411-3083bdf75337,51,100,228.19,0.30,0.30,0.15
32625379-4b1d-4b88-8411-3083bdf75337,101,150,230.34,0.30,0.30,0.15
32625379-4b1d-4b88-8411-3083bdf75337,151,200,232.49,0.30,0.30,0.15
32625379-4b1d-4b88-8411-3083bdf75337,201,250,235.67,0.30,0.30,0.15
32625379-4b1d-4b88-8411-3083bdf75337,251,300,238.84,0.40,0.30,0.17
32625379-4b1d-4b88-8411-3083bdf75337,301,350,261.85,0.40,0.30,0.17
32625379-4b1d-4b88-8411-3083bdf75337,351,400,284.87,0.40,0.30,0.17
32625379-4b1d-4b88-8411-3083bdf75337,401,450,307.89,0.40,0.30,0.17
32625379-4b1d-4b88-8411-3083bdf75337,451,500,330.91,0.40,0.30,0.17
32625379-4b1d-4b88-8411-3083bdf75337,501,550,353.93,0.60,0.30,0.20
32625379-4b1d-4b88-8411-3083bdf75337,551,600,376.94,0.60,0.30,0.20
32625379-4b1d-4b88-8411-3083bdf75337,601,650,399.96,0.60,0.30,0.20
32625379-4b1d-4b88-8411-3083bdf75337,651,700,422.98,0.60,0.30,0.20
32625379-4b1d-4b88-8411-3083bdf75337,701,750,446.00,0.60,0.30,0.20
32625379-4b1d-4b88-8411-3083bdf75337,751,800,469.02,0.60,0.30,0.20
32625379-4b1d-4b88-8411-3083bdf75337,801,850,492.03,0.60,0.30,0.20
32625379-4b1d-4b88-8411-3083bdf75337,851,900,515.05,0.60,0.30,0.20
32625379-4b1d-4b88-8411-3083bdf75337,901,950,538.07,0.60,0.30,0.20
32625379-4b1d-4b88-8411-3083bdf75337,951,1000,561.09,0.60,0.30,0.20
32625379-4b1d-4b88-8411-3083bdf75337,1001,1100,607.13,0.70,0.30,0.22
32625379-4b1d-4b88-8411-3083bdf75337,1101,1200,653.16,0.70,0.30,0.22
32625379-4b1d-4b88-8411-3083bdf75337,1201,1300,699.20,0.70,0.30,0.22
32625379-4b1d-4b88-8411-3083bdf75337,1301,1400,745.23,0.70,0.30,0.22
32625379-4b1d-4b88-8411-3083bdf75337,1401,1500,791.27,0.70,0.30,0.22
32625379-4b1d-4b88-8411-3083bdf75337,1501,1600,837.31,0.80,0.30,0.24
32625379-4b1d-4b88-8411-3083bdf75337,1601,1700,883.34,0.80,0.30,0.24
32625379-4b1d-4b88-8411-3083bdf75337,1701,1800,929.38,0.80,0.30,0.24
32625379-4b1d-4b88-8411-3083bdf75337,1801,1900,975.42,0.80,0.30,0.24
32625379-4b1d-4b88-8411-3083bdf75337,1901,2000,1021.45,0.80,0.30,0.24
32625379-4b1d-4b88-8411-3083bdf75337,2001,2200,1113.52,0.90,0.30,0.26
32625379-4b1d-4b88-8411-3083bdf75337,2201,2400,1205.60,0.90,0.30,0.26
32625379-4b1d-4b88-8411-3083bdf75337,2401,2600,1297.67,0.90,0.30,0.26
32625379-4b1d-4b88-8411-3083bdf75337,2601,2800,1389.74,1.00,0.30,0.28
32625379-4b1d-4b88-8411-3083bdf75337,2801,3000,1481.81,1.00,0.30,0.28
32625379-4b1d-4b88-8411-3083bdf75337,3001,3200,1573.89,1.10,0.30,0.29
32625379-4b1d-4b88-8411-3083bdf75337,3201,3400,1665.96,1.10,0.30,0.29
32625379-4b1d-4b88-8411-3083bdf75337,3401,3600,1758.03,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,3601,3800,1986.00,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,3801,4000,2214.00,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,4001,4200,2442.00,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,4201,4400,2670.00,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,4401,4600,2898.00,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,4601,4800,3126.00,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,4801,5000,3354.00,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,5001,5200,3582.00,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,5201,5400,3810.00,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,5401,5600,4038.00,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,5601,5800,4494.43,1.20,0.30,0.30
32625379-4b1d-4b88-8411-3083bdf75337,5801,6000,4950.85,1.20,0.30,0.30
